"Dist_Code","Year","Code","State","Dist","RICE_AREA","RICE_PRODUCTION","RICE_YIELD","WHEAT_AREA","WHEAT_PRODUCTION","WHEAT_YIELD","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"800","2017","13","West Bengal","24 Parganas","606.14","1690.69","2789.27","1.68","3.36","1996.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.46","1.18","2557.24","0.0","0.0","0.0","0.0","0.0","0.0","0.24","0.3","1241.67","0.04","0.07","1659.09","73.14","53.26","728.18","2.23","4.96","2227.01","15.49","20.89","1348.55","38.19","48.37","1266.63","0.0","0.0","0.0","0.0","0.0","0.0","0.21","0.05","220.66","5.27","6.25","1184.71","0.0","0.0","0.0","0.0","0.0","0.0","1.68","14.7","8750.77","0.18","0.16","885.68","35.67","163.31","198.97","10.51","0.0","0.04"
"803","2017","13","West Bengal","Nadia","242.66","804.3","3314.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","23.04","3841.75","0.0","0.0","0.0","0.0","0.0","0.0","3.46","4.18","1208.73","0.22","0.37","1648.89","61.87","55.36","894.75","4.47","8.23","1840.56","29.47","29.41","997.76","87.89","94.41","1074.18","0.0","0.0","0.0","0.0","0.0","0.0","0.19","0.04","219.25","0.01","0.02","1900.0","0.0","0.0","0.0","0.0","0.0","0.0","2.38","20.84","8750.76","0.0","0.0","0.0","23.07","90.89","113.96","4.5","0.0","1.12"
"804","2017","13","West Bengal","Murshidabad","367.54","1178.19","3205.58","0.06","0.19","3048.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.78","56.34","4088.53","0.0","0.0","0.0","0.18","0.26","1430.94","8.94","13.69","1530.76","0.21","0.45","2148.33","85.62","88.55","1034.2","0.09","0.21","2465.12","23.0","19.79","860.68","129.26","167.34","1294.58","0.0","0.0","0.0","0.0","0.0","0.0","0.67","0.12","177.61","0.04","0.04","951.22","0.0","0.0","0.0","0.0","0.0","0.0","3.24","27.52","8484.95","0.0","0.0","0.0","32.04","103.39","135.43","11.93","0.0","1.24"
"805","2017","13","West Bengal","Burdwan","520.61","1597.43","3068.36","3.42","9.12","2668.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.26","2169.49","0.0","0.0","0.0","0.0","0.0","0.0","1.33","1.72","1294.65","0.11","0.18","1648.15","12.54","13.46","1073.02","2.16","5.76","2672.69","18.12","16.08","887.5","31.91","34.33","1075.68","0.01","0.01","750.0","0.0","0.0","0.0","0.11","0.03","221.24","0.08","0.12","1404.76","0.0","0.0","0.0","0.0","0.0","0.0","2.03","12.93","6369.61","0.0","0.0","0.0","7.95","114.44","122.38","64.07","0.0","0.0"
"806","2017","13","West Bengal","Birbhum","423.81","1376.11","3246.97","35.12","99.7","2839.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.18","2.62","2221.0","0.0","0.0","0.0","0.01","0.01","1272.73","12.36","18.32","1481.76","0.85","1.4","1650.59","23.06","24.8","1075.41","0.09","0.19","2100.0","6.03","6.3","1044.41","32.86","31.97","973.07","0.01","0.01","846.15","0.0","0.0","0.0","0.41","0.09","217.92","0.03","0.05","1393.94","0.04","0.02","550.0","0.0","0.0","0.0","0.58","5.23","8977.36","0.0","0.0","0.0","7.17","69.36","76.53","15.42","0.0","0.65"
"807","2017","13","West Bengal","Bankura","384.61","1081.48","2811.87","1.17","3.02","2583.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.73","1.83","2513.07","0.0","0.0","0.0","0.0","0.0","0.0","0.69","0.91","1321.27","0.07","0.12","1611.11","5.09","5.55","1090.14","1.27","2.4","1895.82","27.12","22.84","842.05","13.84","11.65","841.47","0.0","0.0","0.0","0.0","0.0","0.0","0.11","0.03","268.52","0.67","0.74","1101.49","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.18","10222.22","0.0","0.0","0.0","8.82","86.85","95.67","30.8","0.0","0.08"
"810","2017","13","West Bengal","Hooghly","260.37","839.67","3224.91","0.46","1.12","2416.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.53","1.33","2517.05","0.0","0.0","0.0","0.0","0.0","0.0","0.11","0.16","1436.36","0.0","0.0","0.0","5.55","6.39","1150.6","14.29","36.62","2563.45","39.88","45.6","1143.37","9.73","9.37","962.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.02","1700.0","0.0","0.0","0.0","0.0","0.0","0.0","0.57","3.95","6938.42","0.0","0.0","0.0","14.14","159.71","173.84","103.86","0.0","0.28"
"811","2017","13","West Bengal","Howrah","110.38","300.67","2724.04","0.16","0.28","1723.93","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.39","3252.1","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.01","1272.73","0.0","0.0","0.0","3.46","3.66","1058.98","4.45","10.17","2284.24","2.84","3.3","1164.67","1.93","1.78","921.64","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.01","214.29","0.1","0.15","1413.46","0.0","0.0","0.0","0.0","0.0","0.0","0.11","0.95","8750.93","0.0","0.0","0.0","2.74","21.8","24.54","5.82","0.0","0.0"
"812","2017","13","West Bengal","Jalpaiguri","214.23","514.26","2400.54","10.75","35.44","3296.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","30.97","160.43","5179.94","0.04","0.04","875.0","0.0","0.0","0.0","0.12","0.18","1419.35","0.31","0.51","1651.61","15.76","11.64","738.5","4.16","8.32","2001.44","1.29","1.2","931.06","10.38","7.31","704.18","0.05","0.06","1127.27","0.0","0.0","0.0","0.62","0.13","216.83","0.05","0.06","1127.27","0.0","0.0","0.0","0.0","0.0","0.0","0.15","1.35","8750.65","0.0","0.0","0.0","10.73","100.84","111.57","45.87","0.0","0.0"
"813","2017","13","West Bengal","Darjeeling","28.27","65.58","2319.88","0.43","1.29","3011.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.65","30.08","2377.49","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.02","1437.5","0.03","0.05","1655.17","1.26","0.81","642.69","0.02","0.05","2181.82","0.21","0.19","882.08","0.37","0.13","350.54","0.0","0.0","0.0","0.0","0.0","0.0","0.05","0.01","215.69","0.01","0.01","1571.43","0.22","0.17","800.0","0.0","0.0","0.0","0.01","0.12","8750.0","0.0","0.0","0.0","9.34","17.37","26.71","3.91","0.0","0.0"
